gene_name.GENEID,gene_name.GENENAME,MUT_12DPA_R1,MUT_12DPA_R2,MUT_12DPA_R3,WT_12DPA_R1,WT_12DPA_R2,MUT_14DPA_R1,MUT_14DPA_R2,MUT_14DPA_R3,WT_14DPA_R1,WT_14DPA_R2
ENSMUSG00000035305,Ror1,2.97,5,4.66,1.95,2.89,4.02,3.15,3.67,2.65,3.21
ENSMUSG00000035311,Gnptab,6.76,8.67,12.67,5.01,8.88,6.6,4.94,4.77,3.44,6.94
ENSMUSG00000035314,Gdpd5,4.1,5.13,6.32,6.04,12.62,3.35,3.03,1.98,3.88,5.21
ENSMUSG00000035325,Sec31a,68.89,92.29,95.52,55.95,81.55,73.19,53.19,52.23,34.58,50.54
ENSMUSG00000035329,Fbxo33,4.08,5.57,5.63,4.46,3.66,5.87,5.35,5.4,3.17,3.48
ENSMUSG00000035337,Uchl4,4.55,5.51,3.92,4.1,2.85,5.64,5.22,4.02,2.33,3.03
ENSMUSG00000035342,Lzts2,12.67,18.86,20.12,14.15,17.09,11.37,13.96,11.66,7.56,10.05
ENSMUSG00000035351,Nup37,4.46,3.76,5.26,3.83,3.97,1.96,3.02,2.47,2.36,3.36
ENSMUSG00000035352,Ccl12,0.04,0,0.16,0.08,0,0.04,0,0.08,0.17,0.12
ENSMUSG00000035354,Uvrag,5.9,7.79,7.85,5.31,7.65,7.3,6.42,6.14,4.26,5.73
ENSMUSG00000035355,Kcnh4,0.02,0.01,0.05,0.02,0.03,0.01,0.01,0.02,0.01,0.02
ENSMUSG00000035356,Nfkbiz,23.34,29.48,18.01,4.2,16.83,12.4,8.44,13.62,4.25,7.01
ENSMUSG00000035357,Pdzrn3,1.89,3.6,2.87,2.35,4.4,1.24,1.71,1.67,2.32,2.38
ENSMUSG00000035365,Parpbp,1.45,0.5,1.88,0.93,1.19,0.35,0.23,0.88,0.59,0.86
ENSMUSG00000035367,Rmi1,4.97,3.09,4.6,3.17,2.92,4.14,2.82,3.16,2.42,3.04
ENSMUSG00000035370,Adat3,0.32,0.75,1,0.27,0.56,0.25,0.67,0.22,0.56,0.46
ENSMUSG00000035371,Ssx9,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000035372,1810055G02Rik,6.32,5.37,11.13,7.35,8.92,4.76,4.94,5.67,4.54,4.17
ENSMUSG00000035373,Ccl7,0.21,0.13,1.44,0.29,0.35,0.05,0.1,0.07,0.21,0.5
ENSMUSG00000035376,Ptplb,18.35,18.54,16.04,9.17,10.05,17.85,14.27,15.72,7.98,10.45
ENSMUSG00000035378,Shq1,2.29,2.09,3.19,1.79,1.85,1.97,1.81,1.59,1.07,1.87
